@relation RatioDataForProject_1102_8

@attribute Working_Capital numeric
@attribute Quick_Ratio numeric
@attribute Accounts_And_Notes_Receivable numeric
@attribute Days_in_Accounts_Receivable numeric
@attribute Inventory_Days numeric
@attribute Revenue_Growth_Year_over_Year numeric
@attribute Sales_5_Year_Average_Growth numeric
@attribute Gross_Margin numeric
@attribute Oper_Margin numeric
@attribute Pretax_Margin numeric
@attribute Return_Com_Eqy numeric
@attribute Normalized_Return_On_Asset numeric
@attribute Cash_From_Operations numeric
@attribute Free_Cash_Flow numeric
@attribute Interest_Coverage_Ratio numeric
@attribute Avg_Com_Eqy_To_Avg_Asset numeric
@attribute Book_Val_Per_Share numeric
@attribute Tot_Debt_To_Tot_Equity numeric
@attribute Lt_Debt_To_Tot_Asset numeric
@attribute Lt_Debt_To_Com_Equity numeric
@attribute Dividend_Indicated_Yield_Net numeric
@attribute Tobin_Q_Ratio numeric
@attribute Invent_Turnover numeric
@attribute Acct_Rcv_Turnover numeric
@attribute Accounts_Payable_Turnover numeric
@attribute RTG_SP_LT_LC_Issuer_Credit {A,B}

@data
-638,0.560086,1805,44.160338,3.947252,6.436917,1.289305,37.721781,18.198136,15.125992,37.850953,7.611649,3180,1671,6.973545,26.508621,14.132414,157.083747,40.093454,145.406214,2.026365,2.437373,92.469388,8.098615,11.076359,A
-1655.8,0.359135,1350.7,61.856965,62.324545,2.358042,12.809683,63.093417,23.340524,20.767471,13.444853,3.393752,2079.6,120.1,4.195535,29.800838,30.823357,116.240334,27.687438,92.445093,3.21291,1.364104,5.856441,7.339744,4.008683,A
-1115,0.402153,1561,49.081682,41.466396,2.673989,0.695538,59.540512,19.203788,14.819362,10.864907,2.927123,3126,-221,3.137536,26.698343,22.892603,137.852466,33.7439,126.756875,3.121791,1.301498,8.802308,8.089515,4.457273,A
-1314,0.510542,2240,13.855951,0,-4.148523,6.604588,26.27736,6.348393,4.942595,21.355199,5.873724,-464,-874,8.69457,26.920199,53.155162,66.357265,14.795743,52.37484,0.983187,1.786413,0,21.748299,7.397414,A
-25793,0.249046,3380,28.478274,0,4.759614,7.643915,80.920274,8.729065,8.714565,17.392195,4.990996,4086,3615,14.864198,22.67139,60.620888,39.458793,8.419024,37.852202,0.021393,1.579927,0,12.784658,4.599351,A
61292,1.508643,34774,107.699057,71.832531,0.652535,-2.708465,9.543613,-7.296543,-7.297374,-13.304439,2.435946,10426,3055,-3.144902,18.849756,6.335576,157.628389,29.251533,172.051294,3.804994,1.230771,5.081263,3.902034,7.607475,A
-22,0.732083,1804,54.971802,31.921186,8.572242,0.584716,43.560374,21.404214,19.996503,23.559236,9.321374,3041,1730,11.281106,27.758499,20.957954,137.99448,38.084752,129.328681,2.10486,2.876134,11.434412,6.507634,7.230852,A
-5501,0.555355,8546,35.627292,0,5.127918,6.03707,69.969004,21.279843,18.126967,38.137137,5.764219,21403,11853,5.828581,33.351295,15.428858,91.173064,31.785139,86.613416,2.102061,1.628014,0,10.472448,0,A
-3522,0.405179,3378,47.552538,107.947101,15.756936,6.10237,67.969259,11.076375,4.637228,9.994044,3.063293,6395,-1347,1.430735,22.167901,23.65966,196.476095,40.054052,183.978152,5.432323,1.215123,3.381286,8.057143,3.702597,A
8467,0.884753,12595,73.430653,73.973009,4.529732,1.232646,26.545448,14.492705,12.973578,16.961509,5.755696,5631,3617,8.259048,30.64364,39.200429,87.110167,25.78312,84.393786,2.09002,1.746337,4.934232,5.10289,5.020314,A
2273.01,0.885468,4569.214,42.894979,0,5.655027,7.175501,30.002308,12.600432,12.555343,44.118078,19.00956,4973.039,4457.12,298.012802,38.118154,15.271257,0.258182,0.097678,0.247646,1.560758,4.271531,0,8.582982,21.264388,A
5291,1.166893,4347,71.336277,69.533235,6.943944,7.323136,70.802849,17.385445,24.696766,2.783536,16.493657,5275,4220,18.428571,41.508817,7.547181,67.206888,20.789246,59.407206,2.651421,3.618074,5.249288,5.057364,3.784463,A
9351,0.895124,3667,38.772875,85.483021,-15.414567,-6.736125,62.564247,21.183282,19.039819,11.799425,9.341913,6995,5320,8.919144,22.911981,4.308253,251.277863,35.476017,182.649953,3.380282,3.028886,4.258156,7.717546,0,A
-178,0.412175,1432,3.796396,31.17027,8.681003,6.159267,13.286572,3.186204,3.130401,27.312735,8.001489,6726,4224,27.406667,32.883038,27.685692,60.167885,18.084023,60.985341,0.939044,2.606877,11.902367,91.302782,12.127968,A
3251,0.859257,3311,54.621353,69.576973,16.671426,6.753132,24.916781,11.577247,11.577247,14.183342,12.384387,2277,1771,27.823529,42.718975,44.834152,24.571289,8.785615,21.876292,3.202697,2.212831,5.231616,6.389703,6.698353,A
2858,1.269486,1487,38.439304,198.735056,15.72226,6.775866,79.215084,14.996711,14.470511,24.426808,14.035985,2573,1944,16.03125,37.588564,12.768782,75.244161,26.744649,71.693686,1.085327,4.795654,1.836616,9.495489,2.957858,A
-1101.946,0.32449,1126.444,50.433476,29.501798,1.476909,2.607379,67.295063,24.744142,20.309814,9.11696,2.890003,2004.934,-343.171,4.293526,31.927405,35.575033,119.318905,32.511771,106.220746,3.188886,1.246673,12.372127,7.571464,3.402539,A
5229,0.503855,3617,41.339877,81.33346,1.348123,3.581436,19.975462,13.485939,13.163078,26.017607,7.806041,3879,3451,35.700855,31.862558,40.481781,34.822912,11.356503,34.805422,1.891974,2.397261,4.475403,8.613961,9.305379,A
1699.328,1.096505,1325.186,44.61082,78.496406,2.837607,3.778876,39.305639,10.059245,8.972055,42.861143,13.699362,1056.557,819.274,12.717529,30.334813,33.742959,128.155918,38.730834,133.009493,1.532135,3.00156,4.649894,7.693638,9.412539,A
4225,1.874222,2628,63.557531,53.269699,5.25774,1.419775,41.951935,24.409669,22.844767,43.99252,15.826427,2402,2105,13.438462,27.638285,11.285033,181.477446,44.564958,163.097056,2.818688,4.122424,6.851925,5.381878,14.524481,A
12079,1.125596,5607,29.942201,98.494457,5.681378,5.981872,62.250442,28.578257,32.427782,18.957204,13.55668,22110,10332,18.702815,57.90655,15.333116,38.367318,20.314161,35.826,2.677376,2.188382,3.695639,13.202432,6.725365,A
12372,1.157,30649,135.682186,13.985411,-0.975988,-4.143533,45.776419,13.056774,14.405034,31.159479,10.900503,16724,13495,16.666129,14.75954,20.289927,227.661495,26.616995,189.644197,4.283327,1.988279,26.098625,3.035648,8.230177,A
-199.2,0.760314,1127.9,18.667032,21.974787,14.225664,6.859778,19.084209,11.017454,11.170103,25.351507,8.179705,2715.8,869.2,16.825746,33.639752,25.033932,110.296255,25.364545,73.852556,1.606887,1.723349,16.609945,15.540507,0,A
10525,1.242123,5956,33.5122,44.029359,1.156069,-0.816192,54.687131,16.543093,15.115309,40.900596,9.887329,9994,7025,9.028351,14.287578,7.145583,357.717876,42.348754,311.541298,3.260249,2.997875,8.267211,8.374675,0,A
6476,2.545173,1278,31.044883,133.711887,11.899776,5.818456,64.26041,40.659047,40.638995,40.895886,29.496468,5363,4668,77.987179,61.074751,10.913769,39.440844,20.275479,34.60385,2.380381,6.234333,2.72975,10.378808,12.002123,A
3360.19,0.700767,327.166,2.981889,57.856443,8.079016,7.709046,28.893334,10.841245,10.753169,60.908199,20.19679,3025.624,1968.007,56.157488,35.850982,8.42035,47.637467,17.445735,47.637467,1.417731,4.139245,6.412423,114.098727,10.913898,A
-13379,0.496562,9568,16.076338,0,8.828717,13.273088,23.37007,7.560686,6.971102,25.936536,7.285759,13596,11573,12.823777,32.860067,50.200624,63.596412,20.735952,60.354571,1.372056,2.192666,0,19.956753,8.79376,A
2840,1.010545,8773,45.625,0,8.153548,5.336605,20.832827,11.429743,10.851348,291.041433,13.53079,1479,-3748,14.998008,1.637911,2.706977,2358.15534,44.662247,2027.8,2.952149,3.232228,0,9.970681,17.406809,A
9029,1.457875,1132,21.602163,0,21.721257,12.072958,0,66.150997,63.699749,35.366528,15.243881,9208,8501,21.57016,41.230343,13.684521,56.065324,24.446504,61.019314,0.57332,3.813367,0,17.230108,0,A
